,,,238,11992.6,71.695,,,,,,,,
BLL,,217-3059 1374,4,297.0,1.746,"80-60-52/2
142-77-57/2
",,TG0656,2/21/2023,ICN,SS,GCR,CONSOLIDATION A
BLL,,217-9287 6243,4,389.4,3.160,,,TG0656,2/21/2023,ICN,SS,GCR,CONSOLIDATION A
CPH,,217-9406 3745,5,436.0,2.200,"120-80-114/1
80-60-85/1
80-60-125/1
",,TG0417,2/21/2023,KUL,SS,GCR,CONSOL
BLL,,217-9407 0034,27,3108.0,29.808,"120-80-115/27
",,TG0465,2/22/2023,MEL,SS,GCR,CONSOLIDATION A
BLL,,217-9406 4143,1,97.3,0.756,"120-100-63/1
",,TG0676,2/22/2023,NRT,SS,GCR,CONSOLIDATION A
CPH,,217-9406 8203,3,152.0,2.765,"120-80-96/3
",,TG0676,2/21/2023,NRT,SS,GCR,CONSOL
BLL,,217-3058 8526,53,1415.0,6.707,"120-80-139/1
180-80-55/1
170-112-15/1
120-80-67/1
173-18-18/1
",RFL-RNG-ELM,,,,,GCR,CONSOLIDATION A
CPH,,217-9288 5365,99,1000.0,6.000,,,,,,,GCR,CONSOL
CPH,,217-9288 6253,40,4409.9,15.770,"120-100-129/1
120-80-80/1
120-80-87/1
120-80-100/1
120-80-135/1
120-80-92/2
120-80-145/1
120-80-75/2
",,,,,,GCR,CONSOLIDATION A
CPH,,217-9406 1531,2,688.0,2.784,"120-100-116/2
",ICE,,,,,GCR,CONSOLIDATION A
