,,,789,30201.1,105.509,,,,,,,,
OSL,,217-2934 6914,7,124.6,0.829,"139-25-16/1
48-38-23/1
53-43-29/1
120-80-55/1
50-47-30/1
37-37-23/1
140-32-8/1
",,TG0465,2/19/2023,MEL,SS,GCR,CONSOLIDATED CA
OSL,,217-9111 6664,6,1279.0,5.693,"120-80-78/1
120-80-94/1
120-80-92/2
120-80-126/1
120-80-111/1
",,TG0475,2/20/2023,SYD,SS,GCR,CONSOLIDATION P
OSL,,217-9112 6840,161,4121.0,11.300,,PES-COL,,,,,0340,FRESH SALMON
OSL,,217-9112 6851,60,1470.0,4.200,,PES-COL,,,,,0340,FRESH SALMON
CPH,,217-9155 1854,2,209.8,1.335,"120-80-137/1
276-6-12/1
",ELI,TG0656,2/19/2023,ICN,SS,GCR,CONSOLIDATION A
CPH,,217-9155 1946,1,2.0,0.143,"61-51-46/1
",,TG0642,2/19/2023,NRT,SS,GCR,CONSOLIDATION A
CPH,,217-9156 8120,2,355.0,1.056,,,,,,,GCR,CONSOL
BLL,,217-9156 8234,2,120.0,0.988,"74-68-74/1
74-80-104/1
",,TG0642,2/19/2023,NRT,SS,GCR,CONSOL
CPH,,217-9156 9240,1,205.0,1.182,"111-67-159/1
",,TG0475,2/20/2023,SYD,SS,GCR,CONSOL
OSL,,217-9281 2086,60,1453.0,4.200,,PES-COL-SCC,TG0632,2/19/2023,TPE,SS,0340,FRESH FJORD TRO
OSL,,217-9281 4094,1,9.8,0.058,"48-40-30/1
",,TG0658,2/19/2023,ICN,SS,GCR,CONSOLIDATION A
OSL,,217-9281 4105,2,415.0,1.133,"120-80-59/2
",,TG0658,2/19/2023,ICN,NN,GCR,CONSOLIDATION A
OSL,,217-9281 5181,161,3845.0,9.700,,PES-COL,,,,,0340,FRESH SALMON
OSL,,217-9281 5575,130,3380.0,9.000,,PES-COL,TG0648,2/20/2023,FUK,SS,0340,FRESH SALMON
OSL,,217-9281 6135,6,117.0,0.640,"94-26-36/4
90-40-40/2
",,TG0632,2/20/2023,TPE,SS,GCR,CONSOLIDATION
OSL,,217-9281 6150,2,484.0,2.400,"120-80-115/1
120-80-135/1
",,TG0638,2/19/2023,HKG,SS,GCR,CONSOLIDATION
BLL,,217-9286 0375,1,113.0,0.518,"120-80-54/1
",,TG0465,2/19/2023,MEL,SS,GCR,CONSOL
BLL,,217-9286 7165,9,1234.0,3.357,"120-80-74/1
120-80-114/1
19-19-9/2
120-80-50/1
80-60-54/1
80-60-34/1
145-80-30/1
70-65-65/1
",,TG0642,2/19/2023,NRT,SS,GCR,CONSOLIDATED CA
BLL,,217-9286 7493,1,335.0,1.488,"120-80-155/1
",,TG0475,2/20/2023,SYD,SS,GCR,CONSOLIDATED CA
BLL,,217-9286 9490,3,11.0,0.116,"38-27-32/2
45-33-34/1
",RFG-RNG-RCM-RMD,TG0676,2/20/2023,NRT,SS,GCR,CONSOL
BLL,,217-9288 2366,2,20.3,0.150,"58-38-28/1
",,TG0409,2/19/2023,SIN,SS,GCR,CONSOLIDATION A
CPH,,217-9288 3276,3,21.0,0.189,,,TG0656,2/19/2023,ICN,NN,GCR,CONSOL
CPH,,217-9288 3280,4,341.0,1.285,"64-40-31/1
100-10-10/1
120-80-95/1
80-60-59/1
",,TG0642,2/20/2023,NRT,SS,GCR,CONSOLIDATED CA
BLL,,217-9288 4680,2,243.0,0.890,"235-80-30/1
120-80-34/1
",,TG0465,2/19/2023,MEL,SS,GCR,CONSOL
CPH,,217-9288 5321,3,402.5,3.220,,,,,,,GCR,CONSOL
CPH,,217-9288 6636,2,331.0,1.949,"120-80-149/1
120-80-54/1
",,TG0624,2/19/2023,MNL,SS,GCR,CONSOLIDATION A
CPH,,217-9288 6684,31,205.7,1.213,"80-60-70/2
",,TG0660,2/19/2023,HND,SS,GCR,CONSOLIDATION A
BLL,,217-9288 6791,8,78.0,0.568,"50-43-33/8
",,TG0642,2/19/2023,NRT,SS,GCR,AQUARIUM PLANTS
CPH,,217-9288 7292,4,1357.0,5.568,"120-100-116/4
","ICE
4x 150K",TG0642,2/19/2023,NRT,SS,GCR,FROZEN DAIRY CU
CPH,,217-9288 7992,3,323.0,3.494,"120-80-50/1
120-80-158/1
120-80-156/1
",COL,TG0435,2/19/2023,CGK,SS,GCR,CONSOLIDATION A
CPH,,217-9288 9322,1,60.0,0.336,"80-60-70/1
",COL,TG0658,2/19/2023,ICN,SS,GCR,CONSOL
CPH,,217-9288 9742,1,8.0,0.060,,,TG0638,2/19/2023,HKG,SS,GCR,DENTAL WORKS
CPH,,217-9406 1214,6,390.7,1.229,"120-80-62/1
80-46-76/1
76-42-63/1
",,TG0622,2/19/2023,KIX,NN,GCR,CONSOLIDATION A
CPH,,217-9406 1332,17,4038.9,9.200,"120-80-52/1
120-80-54/1
120-80-73/1
120-80-40/1
120-80-112/4
120-80-60/1
315-105-18/1
80-60-124/1
",,TG0652,2/20/2023,ICN,SS,GCR,CONSOLIDATION A
CPH,,217-9406 1413,7,435.0,2.308,"83-60-140/2
120-80-60/1
",,TG0417,2/19/2023,KUL,SS,GCR,CONSOLIDATION A
BLL,,217-9406 1925,3,99.6,0.360,"60-50-40/3
","ICE
3x 30K",TG0676,2/20/2023,NRT,SS,GCR,CONSOLIDATED CA
CPH,,217-9406 1995,2,216.0,0.500,,,TG0632,2/20/2023,TPE,SS,GCR,CONSOLIDATION A
CPH,,217-9406 2006,3,112.5,0.780,"107-107-61/1
19-19-10/1
46-46-37/1
",,TG0632,2/20/2023,TPE,SS,GCR,CONSOL
CPH,,217-9406 2010,4,358.6,1.044,"150-60-70/1
38-38-36/1
80-60-49/1
53-53-45/1
",,TG0632,2/20/2023,TPE,SS,GCR,SPARE PARTS FOR
CPH,,217-9406 3745,5,436.0,2.200,,,,,,,GCR,CONSOL
